Oscar Year;Movie Title;Movie Studio;Movie Productor;Movie Director;Gender;Movie Genre
15.ª ceremonia de entrega de los Premios Óscar (1942);Mrs. Miniver;Metro-Goldwyn-Mayer;Sidney Franklin;William Wyler;Male;Drama
16.ª ceremonia de entrega de los Premios Óscar (1943);Casablanca;Warner Bros.;Hal B. Wallis;Michael Curtiz;Male;Drama / Romance
17.ª ceremonia de entrega de los Premios Óscar (1944);Going My Way;Paramount;Leo McCarey;Leo McCarey;Male;Drama
18.ª ceremonia de entrega de los Premios Óscar (1945);The Lost Weekend;Paramount;Charles Brackett;Billy Wilder;Male;Drama
19.ª ceremonia de entrega de los Premios Óscar (1946);The Best Years of Our Lives;RKO Radio;Samuel Goldwyn;William Wyler;Male;Drama
20.ª ceremonia de entrega de los Premios Óscar (1947);Gentleman's Agreement;20th Century Fox;Darryl F. Zanuck;Elia Kazan;Male;Drama
21.ª ceremonia de entrega de los Premios Óscar (1948);Hamlet;J. Arthur Rank-Two Cities Films Universal International;Laurence Olivier;Laurence Olivier;Male;Drama
22.ª ceremonia de entrega de los Premios Óscar (1949);All the King's Men;RossenColumbia;Robert Rossen;Robert Rossen;Male;Drama
23.ª ceremonia de entrega de los Premios Óscar (1950);All About Eve;20th Century Fox;Darryl F. Zanuck;Joseph L. Mankiewicz;Male;Drama
24.ª ceremonia de entrega de los Premios Óscar (1951);An American in Paris;Metro-Goldwyn-Mayer;Arthur Freed;Vincente Minnelli;Male;Musical
25.ª ceremonia de entrega de los Premios Óscar (1952);The Greatest Show on Earth;Paramount;Cecil B. De Mille;Cecil B. De Mille;Male;Drama
26.ª ceremonia de entrega de los Premios Óscar (1953);From Here to Eternity;Columbia;Buddy Adler;Fred Zinnemann;Male;Drama / Bélico
27.ª ceremonia de entrega de los Premios Óscar (1954);On the Waterfront;Columbia;Sam Spiegel;Elia Kazan;Male;Drama
28.ª ceremonia de entrega de los Premios Óscar (1955);Marty;United Artists;Harold Hecht;Delbert Mann;Male;Drama
29.ª ceremonia de entrega de los Premios Óscar (1956);Around the World in Eighty Days;United Artists;Michael Todd;Michael Anderson;Male;Aventura
30.ª ceremonia de entrega de los Premios Óscar (1957);The Bridge on the River Kwai;Columbia;Sam Spiegel;David Lean;Male;Bélico
31.ª ceremonia de entrega de los Premios Óscar (1958);Gigi;Metro-Goldwyn-Mayer;Arthur Freed;Vincente Minnelli;Male;Musical
32.ª ceremonia de entrega de los Premios Óscar (1959);Ben-Hur;Metro-Goldwyn-Mayer;Sam Zimbalist;William Wyler;Male;Acción / Aventura
33.ª ceremonia de entrega de los Premios Óscar (1960);The Apartment;United Artists;Billy Wilder;Billy Wilder;Male;Comedia dramática
34.ª ceremonia de entrega de los Premios Óscar (1961);West Side Story;United Artists;Robert Wise;Robert Wise;Male;Musical
35.ª ceremonia de entrega de los Premios Óscar (1962);Lawrence of Arabia;Columbia;Sam Spiegel;David Lean;Male;Drama histórico
36.ª ceremonia de entrega de los Premios Óscar (1963);Tom Jones;United Artists;Tony Richardson;Tony Richardson;Male;Aventura / Comedia
37.ª ceremonia de entrega de los Premios Óscar (1964);My Fair Lady;Warner Bros.;Jack L. Warner;George Cukor;Male;Musical
38.ª ceremonia de entrega de los Premios Óscar (1965);The Sound of Music;20th Century Fox;Robert Wise;Robert Wise;Male;Musical
39.ª ceremonia de entrega de los Premios Óscar (1966);A Man for All Seasons;Columbia;Fred Zinnemann;Fred Zinnemann;Male;Biográfico
40.ª ceremonia de entrega de los Premios Óscar (1967);In the Heat of the Night;United Artists;Walter Mirisch;Norman Jewison;Male;Drama policial / Misterio
41.ª ceremonia de entrega de los Premios Óscar (1968);Oliver!;Columbia;John Woolf;Carol Reed;Male;Musical
42.ª ceremonia de entrega de los Premios Óscar (1969);Midnight Cowboy;United Artists;Jerome Hellman;John Schlesinger;Male;Drama
43.ª ceremonia de entrega de los Premios Óscar (1970);Patton;20th Century Fox;Frank McCarthy;Franklin J. Schaffner;Male;Biográfico
44.ª ceremonia de entrega de los Premios Óscar (1971);The French Connection;20th Century Fox;Philip D'Antoni;William Friedkin;Male;Drama policial
45.ª ceremonia de entrega de los Premios Óscar (1972);The Godfather;Paramount;Albert S. Ruddy;Francis Ford Coppola;Male;Drama / Crimen
46.ª ceremonia de entrega de los Premios Óscar (1973);The Sting;Universal;Tony BillMichael PhillipsJulia Phillips;George Roy Hill;Male;Comedia
47.ª ceremonia de entrega de los Premios Óscar (1974);The Godfather Part II;Paramount;Francis Ford CoppolaGray FredericksonFred Roos;Francis Ford Coppola;Male;Drama / Crimen
48.ª ceremonia de entrega de los Premios Óscar (1975);One Flew Over the Cuckoo's Nest;United Artists;Saul ZaentzMichael Douglas;Miloš Forman;Male;Drama
49.ª ceremonia de entrega de los Premios Óscar (1976);Rocky;United Artists;Irwin WinklerRobert Chartoff;John G. Avildsen;Male;Drama / Deportes
50.ª ceremonia de entrega de los Premios Óscar (1977);Annie Hall;United Artists;Charles H. Joffe;Woody Allen;Male;Comedia romántica
51.ª ceremonia de entrega de los Premios Óscar (1978);The Deer Hunter;Universal;Barry SpikingsMichael DeeleyMichael CiminoJohn Peverall;Michael Cimino;Male;Drama / Bélico
52.ª ceremonia de entrega de los Premios Óscar (1979);Kramer vs. Kramer;Columbia;Stanley R. Jaffe;Robert Benton;Male;Drama
53.ª ceremonia de entrega de los Premios Óscar (1980);Ordinary People;The Ladd Company Warner Bros.;Ronald L. Schwary;Robert Redford;Male;Drama
54.ª ceremonia de entrega de los Premios Óscar (1981);Chariots of Fire;The Ladd Company Warner Bros.;David Puttnam;Hugh Hudson;Male;Drama histórico / Deportes
55.ª ceremonia de entrega de los Premios Óscar (1982);Gandhi;Columbia;Richard Attenborough;Richard Attenborough;Male;Biográfico
56.ª ceremonia de entrega de los Premios Óscar (1983);Terms of Endearment;Paramount;James L. Brooks;James L. Brooks;Male;Drama
57.ª ceremonia de entrega de los Premios Óscar (1984);Amadeus;Orion;Saul Zaentz;Miloš Forman;Male;Biográfico / Drama histórico
58.ª ceremonia de entrega de los Premios Óscar (1985);Out of Africa;Universal;Sydney Pollack;Sydney Pollack;Male;Biografía / Drama / Romance
59.ª ceremonia de entrega de los Premios Óscar (1986);Platoon;Orion;Arnold Kopelson;Oliver Stone;Male;Drama / Bélico
60.ª ceremonia de entrega de los Premios Óscar (1987);The Last Emperor;Columbia;Jeremy Thomas;Bernardo Bertolucci;Male;Biográfico
61.ª ceremonia de entrega de los Premios Óscar (1988);Rain Man;United Artists;Mark Johnson;Barry Levinson;Male;Drama
62.ª ceremonia de entrega de los Premios Óscar (1989);Driving Miss Daisy;Warner Bros.;Richard D. ZanuckLili Fini Zanuck;Bruce Beresford;Male;Comedia dramática
63.ª ceremonia de entrega de los Premios Óscar (1990);Dances with Wolves;Orion;Jim WilsonKevin Costner;Kevin Costner;Male;Drama / Western
64.ª ceremonia de entrega de los Premios Óscar (1991);The Silence of the Lambs;Orion;Edward SaxonKenneth UttRon Bozman;Jonathan Demme;Male;Terror / Suspense
65.ª ceremonia de entrega de los Premios Óscar (1992);Unforgiven;Warner Bros.;Clint Eastwood;Clint Eastwood;Male;Western
66.ª ceremonia de entrega de los Premios Óscar (1993);Schindler's List;Universal;Steven SpielbergGerald R. MolenBranko Lustig;Steven Spielberg;Male;Biografía / Drama histórico
67.ª ceremonia de entrega de los Premios Óscar (1994);Forrest Gump;Paramount;Wendy FinermanSteve TischSteve Starkey;Robert Zemeckis;Male;Drama
68.ª ceremonia de entrega de los Premios Óscar (1995);Braveheart;Paramount 20th Century Fox;Mel GibsonAlan Ladd, Jr.Bruce Davey;Mel Gibson;Male;Drama histórico
69.ª ceremonia de entrega de los Premios Óscar (1996);The English Patient;Miramax;Saul Zaentz;Anthony Minghella;Male;Drama / Romance
70.ª ceremonia de entrega de los Premios Óscar (1997);Titanic;Lightstorm Entertainment 20th Century Fox Paramount;James CameronJon Landau;James Cameron;Male;Drama / Romance / Cine catástrofe
71.ª ceremonia de entrega de los Premios Óscar (1998);Shakespeare in Love;MiramaxUniversalThe Walt Disney Company;David ParfittDonna GigliottiHarvey WeinsteinEdward ZwickMarc Norman;John Madden;Male;Comedia romántica
72.ª ceremonia de entrega de los Premios Óscar (1999);American Beauty;DreamWorks;Bruce CohenDan Jinks;Sam Mendes;Male;Drama
73.ª ceremonia de entrega de los Premios Óscar (2000);Gladiator;UniversalDreamWorks;Douglas WickDavid FranzoniBranko Lustig;Ridley Scott;Male;Acción / Aventura / Drama
74.ª ceremonia de entrega de los Premios Óscar (2001);A Beautiful Mind;UniversalDreamWorks;Brian GrazerRon Howard;Ron Howard;Male;Biografía / Drama
75.ª ceremonia de entrega de los Premios Óscar (2002);Chicago;Miramax;Martin Richards;Rob Marshall;Male;Musical
76.ª ceremonia de entrega de los Premios Óscar (2003);The Lord of the Rings: The Return of the King;New Line Cinema;Barrie M. OsbornePeter JacksonFran Walsh;Peter Jackson;Male;Aventura / Fantasía
77.ª ceremonia de entrega de los Premios Óscar (2004);Million Dollar Baby;Warner Bros.;Clint EastwoodAlbert S. RuddyTom Rosenberg;Clint Eastwood;Male;Drama / Deportes
78.ª ceremonia de entrega de los Premios Óscar (2005);Crash;Lions Gate Entertainment;Paul HaggisCathy Schulman;Paul Haggis;Male;Drama
79.ª ceremonia de entrega de los Premios Óscar (2006);The Departed;Warner Bros.;Graham King;Martin Scorsese;Male;Acción / Suspense
80.ª ceremonia de entrega de los Premios Óscar (2007);No Country for Old Men;MiramaxParamount Vantage;Scott RudinEthan Coen Joel Coen;Ethan Coen;Male;Drama / Suspense
81.ª ceremonia de entrega de los Premios Óscar (2008);Slumdog Millionaire;Fox Searchlight Warner Bros.;Christian Colson;Danny Boyle;Male;Drama / Romance
82.ª ceremonia de entrega de los Premios Óscar (2009);The Hurt Locker;Summit Entertainment;Kathryn BigelowMark Boal Nicolas Chartier Greg Shapiro;Kathryn Bigelow;Female;Acción / Suspense
83.ª ceremonia de entrega de los Premios Óscar (2010);The King's Speech;The Weinstein Co.;Iain CanningEmile Sherman Gareth Unwin;Tom Hooper;Male;Drama histórico
84.ª ceremonia de entrega de los Premios Óscar (2011);The Artist;La Petite Reine ARP Sélection;Thomas Langmann;Michel Hazanavicius;Male;Comedia romántica / Cine mudo
85.ª ceremonia de entrega de los Premios Óscar (2012);Argo;Warner Bros. GK Films;Grant HeslovBen Affleck George Clooney;Ben Affleck;Male;Drama / Suspense
86.ª ceremonia de entrega de los Premios Óscar (2013);12 Years a Slave;Regency Enterprises Film4River Road EntertainmentPlan B Entertainment;Brad PittDede GardnerJeremy KleinerSteve McQueenAnthony Katagas;Steve McQueen;Male;Biografía / Drama
87.ª ceremonia de entrega de los Premios Óscar (2014);Birdman or (The Unexpected Virtue of Ignorance);Fox Searchlight Regency Enterprises;Alejandro González IñárrituJohn LesherJames W. Skotchdopole;Alejandro González Iñárritu;Male;Comedia dramática
88.ª ceremonia de entrega de los Premios Óscar (2015);Spotlight;Anonymous ContentParticipant MediaFirst Look MediaRocklin/Faust;Steve GolinMichael SugarNicole RocklinBlye Pagon Faust;Tom McCarthy;Male;Biografía / Drama
89.ª ceremonia de entrega de los Premios Óscar (2016);Moonlight;A24Plan B EntertainmentPastel Productions;Adele RomanskiDede GardnerJeremy Kleiner;Barry Jenkins;Male;Coming-of-age / Drama
90.ª ceremonia de entrega de los Premios Óscar (2017);The Shape of Water;Double Dare You ProductionsTSG ProductionsFox Searchlight Pictures;Guillermo del Toro J. Miles Dale;Guillermo del Toro;Male;Fantasía / Romance
91.ª ceremonia de entrega de los Premios Óscar (2018);Green Book;Participant Media   DreamWorks Pictures   Innisfree Pictures   Cinetic Media   Universal Pictures;Jim Burke   Charles B. Wessler   Brian Hayes Currie   Peter Farrelly    Nick Vallelonga;Peter Farrelly;Male;Biografía / Comedia dramática / Road movie
92.ª ceremonia de entrega de los Premios Óscar (2019);기생충 - Gisaengchung;Barunson E&A Corp;Kwak Sin-ae Bong Joon-ho;Bong Joon-ho;Male;Drama / Suspenso / Humor negro
93.ª ceremonia de entrega de los Premios Óscar (2020);Nomadland;Searchlight Pictures;Frances McDormandPeter SpearsMollye AsherDan JanveyChloé Zhao;Chloé Zhao;Female;Drama
94.ª ceremonia de entrega de los Premios Óscar (2021);CODA;PathéApple TV+;Philippe RousseletFabrice GianfermiPatrick Wachsberger;Sian Heder;Female;Comedia dramática / Coming-of-age
95.ª ceremonia de entrega de los Premios Óscar (2022);Everything Everywhere All at Once;A24IAC FilmsGozie AGBOYear of the RatLey Line Entertainment;Daniel KwanDaniel ScheinertJonathan Wang;Daniel Kwan;Male;Acción / Comedia dramática / Ciencia ficción
96.ª ceremonia de entrega de los Premios Óscar (2023);Oppenheimer;Universal PicturesAtlas EntertainmentSyncopy Inc.;Christopher NolanCharles RovenEmma Thomas;Christopher Nolan;Male;Biografía / Suspense
